bullet_point,category,category_url,clickthrough_url,close_date,currency,funds_raised_amount,funds_raised_percent,image_url,is_indemand,is_pre_launch,offered_by,open_date,perk_goal_percentage,perks_claimed,price_offered,price_retail,product_stage,project_id,project_type,source_url,tagline,tags,title
"null","Camera Gear","/explore/camera-gear","/projects/wicam-the-programmable-wireless-coin-cam","2016-04-20T23:59:59-07:00","USD","127449","3.876726617568","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/q4rbsfqnpqcij3escmb9.jpg","false","false","null","2016-04-19T23:59:59-07:00","null","null","null","null","null","1711683","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Imagine a camera that's smaller and wireless that you install anywhere. That’s WiCAM. The coin cam!","[""other""]","WiCAM: The programmable wireless coin cam"
"null","Wellness","/explore/wellness","/projects/give-backbends-support-yoga-in-our-community","2018-10-02T23:59:59-07:00","USD","435","0.0435","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/bznguesljzj9vsdqmtyj.jpg","false","false","null","2018-08-23T00:00:00-07:00","null","null","null","null","null","2389446","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Free yoga for everyone? YES! Your contribution helps bring yoga to communities across Connecticut!","[""yoga"",""community""]","GIVE BACKbends: Support Yoga in Our Community!"
"null","Art","/explore/art","/projects/b-art-a-jus-bois-moi-juice-b-art","2016-06-30T23:59:59-07:00","CAD","50","0.001","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zo4voir0gpoecy4bnz8j.jpg","false","false","null","2016-05-01T19:09:32-07:00","null","null","null","null","null","1744089","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Art Sophia Rochas (facebook) and Juice B.ART idea","[""other""]","B.ART À JUS BOIS MOI JUICE B.ART"
"null","Film","/explore/film","/projects/it-s-a-sign","2021-02-06T23:59:59-08:00","CAD","8025","1.3375","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/von4f390gpvijosv2biu.jpg","true","false","null","2020-12-08T00:00:00-08:00","null","null","null","null","null","2647443","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Sudbury Indie Cinema needs you to 'sign on"" to help us get lit on the outside.","[""community"",""festival"",""social innovations""]","It's A Sign!"
"null","Home","/explore/home","/projects/--203982","2021-06-05T23:59:59-07:00","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/orl8hvtomx7hgr98erwz.jpg","false","false","null","2021-05-06T00:00:00-07:00","null","null","null","null","null","2678253","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","My Campaign Title","[""3d""]","My Campaign Title"
"null","Audio","/explore/audio","/projects/99-classics-quality-wood-headphones","2015-09-25T23:59:59-07:00","USD","50621","2.19045","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/zi5boaqqpo9wvlgqq4q0.jpg","false","false","null","2015-08-26T04:15:32-07:00","null","null","null","null","null","1310299","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Beautifully crafted headphones that will acquire personal meaning for the user over time.","[""headphones""]","99 Classics - Quality Wood Headphones"
"Sign up for our early bird discounts","Tabletop Games","/explore/tabletop-games","/projects/deco-games-board-game-set-with-no-missing-pieces-restaurant-toys/coming_soon","null","USD","0","0","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ep2xvztktnuglbaeojiq.jpg","false","true","null","null","null","null","null","null","null","2374515","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","No missing pieces","[""community"",""furniture"",""kids"",""toys"",""restaurant""]","The first self-contained Chess & Board Game system"
"null","Fashion & Wearables","/explore/fashion-wearables","/projects/cizor-a-tungsten-carbide-cutting-tool","2021-02-08T23:59:59-08:00","USD","312948","16.964555555556","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/e8hdvehvl4yly4cjzwvv.jpg","true","false","null","2021-02-07T23:59:59-08:00","null","null","null","null","prototype","2659437","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","In your pocket or on your desk. Super hard and always handy. This knife breaks glass in emergencies.","[""knives"",""design""]","CIZOR, a tungsten carbide cutting tool"
"null","Food & Beverages","/explore/food-beverages","/projects/college-snack-attack-subscription-box","2017-07-30T23:59:59-07:00","USD","398","0.0796","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/betfm2nrh85wgljlxeps.jpg","false","false","null","2017-06-30T09:04:40-07:00","null","null","null","null","null","2146011","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","The Ultimate Snacking Experience For College Students!","[""other""]","College Snack Attack Subscription Box"
"null","Dance & Theater","/explore/dance-theater","/projects/dances-for-intimate-spaces-and-friendly-people","2015-10-02T23:59:59-07:00","USD","4734","0.9468","https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ws9nmt1x4fz1vmj1tzvc.jpg","false","false","null","2015-08-13T09:26:29-07:00","null","null","null","null","null","1382418","campaign","https://www.indiegogo.com/explore/all?project_type=campaign&project_timing=all&sort=trending","Fund our Furry Campaign!","[""other""]","Dances for Intimate Spaces and Friendly People"
